Commodity,Year,Attribute,Value
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2007,"Total loss, all levels-Percent",47.25475226
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2008,"Total loss, all levels-Percent",47.21579456
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2009,"Total loss, all levels-Percent",47.12852552
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2010,"Total loss, all levels-Percent",47.04124238
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2011,"Total loss, all levels-Percent",47.03060421
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2012,"Total loss, all levels-Percent",46.93768688
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2013,"Total loss, all levels-Percent",46.9293465
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2014,"Total loss, all levels-Percent",46.86831161
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2015,"Total loss, all levels-Percent",46.97939506
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2016,"Total loss, all levels-Percent",46.94039394
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2017,"Total loss, all levels-Percent",46.91073173
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",2018,"Total loss, all levels-Percent",46.91886811
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1970,Per capita availability adjusted for loss-Lbs/year,162.433762
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1971,Per capita availability adjusted for loss-Lbs/year,164.8766344
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1972,Per capita availability adjusted for loss-Lbs/year,164.0336935
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1973,Per capita availability adjusted for loss-Lbs/year,154.4674069
"Total meat, fish, eggs, and nuts: Per capita consumption adjusted for loss",1974,Per capita availability adjusted for loss-Lbs/year,159.6092158
