Commodity,Year,Attribute,Value
Grains: Per capita availability adjusted for loss,1986,Per capita availability adjusted for loss-Oz/day,4.973751314
Grains: Per capita availability adjusted for loss,1987,Per capita availability adjusted for loss-Oz/day,5.201871889
Grains: Per capita availability adjusted for loss,1988,Per capita availability adjusted for loss-Oz/day,5.32816619
Grains: Per capita availability adjusted for loss,1989,Per capita availability adjusted for loss-Oz/day,5.278334575
Grains: Per capita availability adjusted for loss,1990,Per capita availability adjusted for loss-Oz/day,5.474642753
Grains: Per capita availability adjusted for loss,1991,Per capita availability adjusted for loss-Oz/day,5.498124102
Grains: Per capita availability adjusted for loss,1992,Per capita availability adjusted for loss-Oz/day,5.577142668
Grains: Per capita availability adjusted for loss,1993,Per capita availability adjusted for loss-Oz/day,5.739184307
Grains: Per capita availability adjusted for loss,1994,Per capita availability adjusted for loss-Oz/day,5.783864048
Grains: Per capita availability adjusted for loss,1995,Per capita availability adjusted for loss-Oz/day,5.735080177
Grains: Per capita availability adjusted for loss,1996,Per capita availability adjusted for loss-Oz/day,5.957929768
Grains: Per capita availability adjusted for loss,1997,Per capita availability adjusted for loss-Oz/day,5.968219302
Grains: Per capita availability adjusted for loss,1998,Per capita availability adjusted for loss-Oz/day,5.894120299
Grains: Per capita availability adjusted for loss,1999,Per capita availability adjusted for loss-Oz/day,5.940748603
Grains: Per capita availability adjusted for loss,2000,Per capita availability adjusted for loss-Oz/day,6.037650938
Grains: Per capita availability adjusted for loss,2001,Per capita availability adjusted for loss-Oz/day,5.904770759
Grains: Per capita availability adjusted for loss,2002,Per capita availability adjusted for loss-Oz/day,5.787005039
Grains: Per capita availability adjusted for loss,2003,Per capita availability adjusted for loss-Oz/day,5.815698137
Grains: Per capita availability adjusted for loss,2004,Per capita availability adjusted for loss-Oz/day,5.765597654
Grains: Per capita availability adjusted for loss,2005,Per capita availability adjusted for loss-Oz/day,5.772216806
Grains: Per capita availability adjusted for loss,2006,Per capita availability adjusted for loss-Oz/day,5.857734994
Grains: Per capita availability adjusted for loss,2007,Per capita availability adjusted for loss-Oz/day,5.950159155
Grains: Per capita availability adjusted for loss,2008,Per capita availability adjusted for loss-Oz/day,5.921005518
Grains: Per capita availability adjusted for loss,2009,Per capita availability adjusted for loss-Oz/day,5.859192837
Grains: Per capita availability adjusted for loss,2010,Per capita availability adjusted for loss-Oz/day,5.867318702
Grains: Per capita availability adjusted for loss,2011,Per capita availability adjusted for loss-Oz/day,5.301071701
Grains: Per capita availability adjusted for loss,2012,Per capita availability adjusted for loss-Oz/day,5.349106156
Grains: Per capita availability adjusted for loss,2013,Per capita availability adjusted for loss-Oz/day,5.368599239
Grains: Per capita availability adjusted for loss,2014,Per capita availability adjusted for loss-Oz/day,5.364334092
Grains: Per capita availability adjusted for loss,2015,Per capita availability adjusted for loss-Oz/day,5.323708885
Grains: Per capita availability adjusted for loss,2016,Per capita availability adjusted for loss-Oz/day,5.280391949
Grains: Per capita availability adjusted for loss,2017,Per capita availability adjusted for loss-Oz/day,5.298068587
Grains: Per capita availability adjusted for loss,2018,Per capita availability adjusted for loss-Oz/day,5.316120925
Grains: Per capita availability adjusted for loss,2019,Per capita availability adjusted for loss-Oz/day,5.343563399
Grains: Per capita availability adjusted for loss,2020,Per capita availability adjusted for loss-Oz/day,5.339810075
Grains: Per capita availability adjusted for loss,2021,Per capita availability adjusted for loss-Oz/day,5.216537801
Grains: Per capita availability adjusted for loss,2022,Per capita availability adjusted for loss-Oz/day,5.339943773
Grains: Per capita availability adjusted for loss,1970,Per capita availability adjusted for loss-G/day,117.7882153
Grains: Per capita availability adjusted for loss,1971,Per capita availability adjusted for loss-G/day,116.1294953
Grains: Per capita availability adjusted for loss,1972,Per capita availability adjusted for loss-G/day,114.8163348
Grains: Per capita availability adjusted for loss,1973,Per capita availability adjusted for loss-G/day,118.0960759
Grains: Per capita availability adjusted for loss,1974,Per capita availability adjusted for loss-G/day,116.8803229
Grains: Per capita availability adjusted for loss,1975,Per capita availability adjusted for loss-G/day,119.6925047
